Molecule #,SMILES
116,NCCOCCOCCOCCOCCN
117,NCCOCCOCCOCCN
118,C(CCC)B(O)O
119,N1C(=CC=C1)C(=O)O
120,C1(CCC(CC1)N)N
121,I.ClC1=CC=C(C=C1)CCN
122,CN1C(=CC=C1)C(=O)O
123,C(CC)P(O)(O)=O
124,FC1=CC=C(C(=O)O)C=C1
125,C(CCCC(=O)O)(=O)O
126,N[C@@H](CCSC)C(=O)O
127,F[B-](F)(F)F.C(CCC)[P+](CCCC)(CCCC)CCCC
128,NCCCCCCCC(=O)O
129,NCCCCCC(=O)O
130,C(CCCCCC(=O)O)(=O)O
131,NCCCCC(=O)O
132,CCCCCCCC
133,C1(=CC=CC=C1)N(C1=CC=CC=C1)C1=CC=CC=C1
134,C1=CNC=C1
135,CCCCCCC(=O)O
136,C1CCC(CC1)N
137,C=CC(=O)OCCOC(=O)C=C
138,CCCC[P+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F
139,CCCCN.CC(=O)O
140,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O
141,C(COCCOCC(=O)O)N
142,CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO
